# Kapitza resistance
# T, K           R, cm^2 K / W

# Cu-liquid He3, 1 psi
0.0610819090865  930512.822423
0.0696959353341  603601.612327
0.0795247475846  391542.058986
0.0990371272542  204583.916258
0.113013940717  130804.769498
0.130851864802  81256.4441763
0.151573574634  46958.2994955
0.180903562054  22493.0194272
0.21913011389  10023.9175444
0.22400163579  9715.69569823
0.265873532644  4815.84204256
0.295189407466  2949.36553694
0.337180324979  1490.31359015
0.360354454026  1044.21311628
0.403875190052  586.498928987
0.47938948372  296.357746617
0.537404804837  185.022004637
0.579939527392  136.022793912
0.631878885519  100
