# T [mK]         eta*T^2 [P*mK^2]
# 21 bar
2.28077744905  1.05832922419
2.31899243918  1.07768326759
2.35720742932  1.09703731098
2.40824293228  1.10998109796
2.47209894806  1.11651462853
2.56147271532  1.1295200526
2.57421104536  1.13597140039
2.68914365549  1.14901791584
2.93191157133  1.15583908613
3.25131492439  1.16921433268
3.32790927022  1.18219921105
3.37902695595  1.18228139382
3.64731262327  1.19557445759
4.00505424063  1.20901134122
4.47772846811  1.2354947403
4.60564595661  1.21640779093
4.92500821828  1.23621383958
