# Ahonen 1976 (Wheatley-78)
# 25.4 bar
# T/Tc nu_b^2
0.266 8.040e+10
0.276 8.010e+10
0.297 7.980e+10
0.318 7.920e+10
0.339 7.860e+10
0.358 7.780e+10
0.379 7.680e+10
0.399 7.570e+10
0.424 7.410e+10
0.435 7.320e+10
0.459 7.100e+10
0.477 6.920e+10
0.488 6.810e+10
0.502 6.680e+10
0.517 6.510e+10
0.538 6.290e+10
0.557 6.080e+10
0.575 5.870e+10
0.601 5.470e+10
0.615 5.280e+10
0.637 4.930e+10
0.654 4.710e+10
0.674 4.370e+10
0.698 4.030e+10
0.715 3.780e+10
0.734 3.430e+10
0.757 3.120e+10
0.776 2.720e+10
0.796 2.460e+10
0.814 2.240e+10
0.833 1.920e+10
