# Hakonen, et al., LJTP 76, p.225-283 (1989)
# 10.2 bar
# T/Tc nu_b^2
0.598 2.982e+10
0.613 2.895e+10
0.621 2.837e+10
0.625 2.760e+10
0.635 2.698e+10
0.645 2.613e+10
0.655 2.528e+10
0.663 2.445e+10
0.676 2.358e+10
0.687 2.263e+10
0.697 2.210e+10
0.703 2.127e+10
0.712 2.083e+10
0.720 2.003e+10
0.728 1.947e+10
0.734 1.877e+10
0.759 1.708e+10
0.768 1.618e+10
0.780 1.515e+10
0.792 1.420e+10
0.800 1.348e+10
0.811 1.274e+10
0.831 1.085e+10
0.838 1.008e+10
0.848 9.400e+09
0.855 8.830e+09
0.864 8.180e+09
0.875 7.350e+09
0.885 6.650e+09
0.895 5.880e+09
0.905 5.130e+09
0.917 4.400e+09
0.931 3.630e+09
0.941 3.000e+09
0.953 2.430e+09
0.964 1.730e+09
0.974 1.070e+09
