# Leggett frequency shift (in Hz) as function of temperature
#  % from counterflow temperature dependence measurements taken 
#  % in the year 2007 
# see /rota/Analysis/CFtempdep3_figures
# Fitted OmegaB with y=sqrt(10^10*(1-x^4)*(a-b*x^4+c*x^2*x^4))
# x = T/Tc, y = Omega_B in Hz
# Parameter a=8.7331224006
# Parameter b=13.3212083505
# Parameter c=1.5191855406
# --------------------------
# T (T_c)  fB (in kHz)
0.225000 294565.504868
0.250000 294067.090691
0.275000 293395.289745
0.300000 292514.184983
0.325000 291384.600198
0.350000 289964.137938
0.375000 288207.217934
0.400000 286065.115076
0.425000 283485.995708
0.450000 280414.950521
0.475000 276794.021618
0.500000 272562.220296
0.525000 267655.530418
0.550000 262006.889721
0.575000 255546.137282
0.600000 248199.908716
0.625000 239891.449329
0.650000 230540.295812
