# Rota, 2011-2013
# 15.65 bar
# T/Tc nu_b^2
0.402 5.702e+10
0.391 5.923e+10
0.380 5.796e+10
0.368 6.067e+10
0.356 5.957e+10
0.343 6.174e+10
0.330 6.034e+10
0.317 6.256e+10
0.303 6.143e+10
0.290 6.317e+10
0.276 6.186e+10
0.263 6.335e+10
0.249 6.236e+10
0.236 6.364e+10
0.198 6.110e+10
0.183 6.334e+10
0.169 6.133e+10
0.161 6.306e+10
0.157 6.215e+10
0.155 6.332e+10
0.152 6.156e+10
0.149 6.250e+10
0.145 6.121e+10
0.144 6.334e+10
0.143 6.140e+10
0.142 6.295e+10
0.141 6.140e+10
0.140 6.263e+10
0.140 6.204e+10
0.139 6.335e+10
0.138 6.174e+10
0.138 6.272e+10
0.138 6.115e+10
0.138 6.324e+10
0.138 6.131e+10
0.138 6.294e+10
0.138 6.141e+10
0.137 6.282e+10
0.137 6.201e+10
0.137 6.283e+10
0.137 6.140e+10
