# Ahonen 1976 (Wheatley-78)
# 29.0 bar
# T/Tc nu_b^2
0.283 8.760e+10
0.295 8.760e+10
0.314 8.730e+10
0.337 8.660e+10
0.357 8.610e+10
0.376 8.500e+10
0.397 8.410e+10
0.417 8.300e+10
0.438 8.090e+10
0.457 7.950e+10
0.473 7.770e+10
0.499 7.590e+10
0.519 7.380e+10
0.535 7.220e+10
0.555 6.810e+10
0.583 6.320e+10
0.597 6.120e+10
0.619 5.840e+10
0.638 5.550e+10
0.656 5.260e+10
0.677 4.930e+10
0.701 4.570e+10
0.715 4.360e+10
0.734 4.040e+10
0.756 3.640e+10
0.775 3.320e+10
0.796 3.020e+10
0.813 2.730e+10
0.833 2.480e+10
0.851 2.060e+10
