 triple micro
 Wire properties: material is NbTi       of density   6.0500 g/cm^3
  and diameter 0.04500 mm
 
  RESONANT FREQUENCY =  770.0 Hz
 
  PRESSURE IS  0.000 BAR
  Tc =   0.929 mK   TAB =  0.929 mK   viscosity at Tc =   0.22634 Pa s
  density of He-3 =   0.0819 g/cc        molar volume =  36.837 cm^3
               F1 =   5.390               magic alpha =   1.900
 
 FUDGE FACTOR FOR FINITE WIDTH CORRECTION IS 1.14
 TEMP[mK]    WIDTH      SHIFT
   20.00    84.8066    29.3974
   19.90    85.3714    29.5233
   19.80    85.9430    29.6504
   19.70    86.5215    29.7789
   19.60    87.1069    29.9088
   19.50    87.6993    30.0399
   19.40    88.2989    30.1725
   19.30    88.9059    30.3065
   19.20    89.5202    30.4418
   19.10    90.1422    30.5787
   19.00    90.7718    30.7170
   18.90    91.4092    30.8567
   18.80    92.0546    30.9980
   18.70    92.7081    31.1408
   18.60    93.3698    31.2852
   18.50    94.0400    31.4312
   18.40    94.7186    31.5788
   18.30    95.4060    31.7280
   18.20    96.1022    31.8789
   18.10    96.8074    32.0314
   18.00    97.5218    32.1857
   17.90    98.2456    32.3418
   17.80    98.9788    32.4996
   17.70    99.7217    32.6592
   17.60   100.4745    32.8207
   17.50   101.2374    32.9840
   17.40   102.0104    33.1492
   17.30   102.7940    33.3164
   17.20   103.5881    33.4855
   17.10   104.3931    33.6567
   17.00   105.2091    33.8298
   16.90   106.0363    34.0051
   16.80   106.8751    34.1824
   16.70   107.7255    34.3619
   16.60   108.5878    34.5436
   16.50   109.4623    34.7275
   16.40   110.3492    34.9137
   16.30   111.2487    35.1021
   16.20   112.1610    35.2929
   16.10   113.0866    35.4861
   16.00   114.0255    35.6817
   15.90   114.9781    35.8798
   15.80   115.9447    36.0805
   15.70   116.9255    36.2836
   15.60   117.9208    36.4895
   15.50   118.9310    36.6979
   15.40   119.9563    36.9091
   15.30   120.9971    37.1231
   15.20   122.0537    37.3399
   15.10   123.1263    37.5595
   15.00   124.2155    37.7821
   14.90   125.3214    38.0077
   14.80   126.4445    38.2363
   14.70   127.5852    38.4680
   14.60   128.7437    38.7030
   14.50   129.9206    38.9411
   14.40   131.1161    39.1825
   14.30   132.3308    39.4273
   14.20   133.5651    39.6756
   14.10   134.8193    39.9273
   14.00   136.0939    40.1826
   13.90   137.3894    40.4416
   13.80   138.7063    40.7042
   13.70   140.0450    40.9707
   13.60   141.4061    41.2411
   13.50   142.7900    41.5154
   13.40   144.1973    41.7938
   13.30   145.6286    42.0763
   13.20   147.0843    42.3630
   13.10   148.5651    42.6541
   13.00   150.0715    42.9496
   12.90   151.6042    43.2495
   12.80   153.1638    43.5541
   12.70   154.7510    43.8634
   12.60   156.3664    44.1775
   12.50   158.0106    44.4965
   12.40   159.6845    44.8205
   12.30   161.3887    45.1497
   12.20   163.1239    45.4841
   12.10   164.8910    45.8240
   12.00   166.6908    46.1693
   11.90   168.5240    46.5203
   11.80   170.3915    46.8770
   11.70   172.2942    47.2397
   11.60   174.2330    47.6084
   11.50   176.2087    47.9832
   11.40   178.2224    48.3644
   11.30   180.2751    48.7521
   11.20   182.3677    49.1465
   11.10   184.5013    49.5476
   11.00   186.6770    49.9557
   10.90   188.8958    50.3710
   10.80   191.1590    50.7936
   10.70   193.4677    51.2237
   10.60   195.8231    51.6615
   10.50   198.2265    52.1071
   10.40   200.6791    52.5609
   10.30   203.1824    53.0229
   10.20   205.7377    53.4934
   10.10   208.3464    53.9727
   10.00   211.0100    54.4609
    9.90   213.7300    54.9583
    9.80   216.5079    55.4651
    9.70   219.3455    55.9816
    9.60   222.2442    56.5080
    9.50   225.2058    57.0446
    9.40   228.2322    57.5917
    9.30   231.3250    58.1495
