# ian MC TW
#  frequency   1092.00 Hz  
#  density     16.700 g/cc  
#  diameter    140.0 microns  

#Temperature(mK)  Width        Shift
  90.0000        0.4109        0.7984 
  89.0000        0.4135        0.7985 
  88.0000        0.4162        0.7987 
  87.0000        0.4189        0.7989 
  86.0000        0.4217        0.7992 
  85.0000        0.4246        0.7995 
  84.0000        0.4276        0.7998 
  83.0000        0.4307        0.8003 
  82.0000        0.4338        0.8007 
  81.0000        0.4371        0.8012 
  80.0000        0.4405        0.8018 
  79.0000        0.4439        0.8024 
  78.0000        0.4475        0.8031 
  77.0000        0.4512        0.8039 
  76.0000        0.4550        0.8047 
  75.0000        0.4589        0.8055 
  74.0000        0.4630        0.8065 
  73.0000        0.4672        0.8075 
  72.0000        0.4715        0.8085 
  71.0000        0.4760        0.8097 
  70.0000        0.4806        0.8109 
  69.0000        0.4854        0.8121 
  68.0000        0.4902        0.8134 
  67.0000        0.4961        0.8152 
  66.0000        0.5021        0.8170 
  65.0000        0.5083        0.8189 
  64.0000        0.5148        0.8209 
  63.0000        0.5214        0.8230 
  62.0000        0.5283        0.8253 
  61.0000        0.5355        0.8276 
  60.0000        0.5429        0.8300 
  59.0000        0.5505        0.8325 
  58.0000        0.5584        0.8352 
  57.0000        0.5666        0.8379 
  56.0000        0.5752        0.8408 
  55.0000        0.5840        0.8439 
  54.0000        0.5933        0.8471 
  53.0000        0.6028        0.8504 
  52.0000        0.6128        0.8539 
  51.0000        0.6232        0.8575 
  50.0000        0.6340        0.8614 
  49.0000        0.6453        0.8654 
  48.0000        0.6572        0.8696 
  47.0000        0.6695        0.8740 
  46.0000        0.6824        0.8786 
  45.0000        0.6959        0.8835 
  44.0000        0.7101        0.8886 
  43.0000        0.7250        0.8940 
  42.0000        0.7407        0.8997 
  41.0000        0.7572        0.9056 
  40.0000        0.7745        0.9119 
  39.0000        0.7929        0.9185 
  38.0000        0.8122        0.9255 
  37.0000        0.8327        0.9329 
  36.0000        0.8544        0.9408 
  35.0000        0.8775        0.9491 
  34.0000        0.9020        0.9579 
  33.0000        0.9282        0.9672 
  32.0000        0.9561        0.9772 
  31.0000        0.9860        0.9878 
  30.0000        1.0181        0.9991 
  29.0000        1.0526        1.0112 
  28.0000        1.0898        1.0242 
  27.0000        1.1300        1.0381 
  26.0000        1.1736        1.0532 
  25.0000        1.2210        1.0694 
  24.0000        1.2728        1.0869 
  23.0000        1.3316        1.1064 
  22.0000        1.3938        1.1269 
  21.0000        1.4628        1.1495 
  20.0000        1.5397        1.1743 
  19.5000        1.5816        1.1877 
  19.0000        1.6259        1.2017 
  18.5000        1.6729        1.2164 
  18.0000        1.7229        1.2320 
  17.5000        1.7761        1.2484 
  17.0000        1.8328        1.2657 
  16.5000        1.8934        1.2840 
  16.0000        1.9613        1.3043 
  15.5000        2.0335        1.3256 
  15.0000        2.1113        1.3483 
  14.5000        2.1953        1.3724 
  14.0000        2.2861        1.3981 
  13.5000        2.3847        1.4256 
  13.0000        2.4920        1.4550 
  12.5000        2.6092        1.4865 
  12.0000        2.7375        1.5203 
  11.5000        2.8787        1.5568 
  11.0000        3.0347        1.5961 
  10.5000        3.2076        1.6386 
  10.0000        3.4003        1.6847 
   9.8000        3.4837        1.7042 
   9.6000        3.5710        1.7244 
   9.4000        3.6625        1.7453 
   9.2000        3.7585        1.7668 
   9.0000        3.8593        1.7892 
   8.8000        3.9653        1.8123 
   8.6000        4.0769        1.8363 
   8.4000        4.1944        1.8611 
   8.2000        4.3184        1.8868 
   8.0000        4.4493        1.9135 
   7.8000        4.5877        1.9411 
   7.6000        4.7342        1.9698 
   7.4000        4.8895        1.9995 
   7.2000        5.0543        2.0304 
   7.0000        5.2295        2.0623 
   6.8000        5.4159        2.0955 
   6.6000        5.6147        2.1299 
   6.4000        5.8270        2.1656 
   6.2000        6.0541        2.2026 
   6.0000        6.2974        2.2409 
   5.8000        6.5586        2.2806 
   5.6000        6.8396        2.3216 
   5.4000        7.1424        2.3640 
   5.2000        7.4694        2.4077 
   5.0000        7.8233        2.4527 
   4.9000        8.0114        2.4756 
   4.8000        8.2073        2.4988 
   4.7000        8.4117        2.5223 
   4.6000        8.6250        2.5460 
   4.5000        8.8476        2.5699 
   4.4000        9.0803        2.5940 
   4.3000        9.3235        2.6183 
   4.2000        9.5780        2.6427 
   4.1000        9.8444        2.6671 
   4.0000       10.1235        2.6915 
   3.9000       10.4162        2.7158 
   3.8000       10.7232        2.7400 
   3.7000       11.0456        2.7639 
   3.6000       11.3844        2.7875 
   3.5000       11.7406        2.8106 
   3.4000       12.1155        2.8331 
   3.3000       12.5104        2.8548 
   3.2000       12.9265        2.8755 
   3.1000       13.3655        2.8951 
   3.0000       13.8289        2.9132 
   2.9000       14.3185        2.9297 
   2.8000       14.8362        2.9441 
   2.7000       15.3838        2.9561 
   2.6000       15.9637        2.9654 
   2.5000       16.5781        2.9713 
   2.4000       17.2294        2.9735 
   2.3000       17.9203        2.9712 
   2.2000       18.6535        2.9638 
   2.1000       19.4319        2.9506 
   2.0000       20.2585        2.9306 


# 5th order polynomial to give 1/T(mK) as powers of width
 -3.620487e+00 
  3.905301e+01 
 -3.390871e+00 
  3.114487e-01 
 -1.358471e-02 
  2.355640e-04 
