# cylinder programme using wide line treatment and slip fudge
# pressure      1.70 bar  
# vacuum frequency   6000.00 Hz  
#  density      6.050 g/cc  
#  diameter      0.9 microns  

# Temperature(mK)  Width    Frequency  approx width  approx freq
  200.000     1913.655      5559.663     1663.333    5576.407 
  198.000     1945.286      5554.949     1688.455    5572.087 
  196.000     1977.825      5550.125     1714.240    5567.670 
  194.000     2011.310      5545.187     1740.712    5563.155 
  192.000     2045.778      5540.131     1767.897    5558.537 
  190.000     2081.271      5534.953     1795.822    5553.812 
  188.000     2117.832      5529.648     1824.516    5548.979 
  186.000     2155.505      5524.212     1854.008    5544.031 
  184.000     2194.339      5518.640     1884.331    5538.967 
  182.000     2234.383      5512.928     1915.516    5533.781 
  180.000     2275.690      5507.068     1947.600    5528.470 
  178.000     2318.317      5501.057     1980.617    5523.028 
  176.000     2362.323      5494.889     2014.607    5517.452 
  174.000     2407.770      5488.556     2049.611    5511.735 
  172.000     2454.724      5482.053     2085.670    5505.874 
  170.000     2503.256      5475.373     2122.830    5499.862 
  168.000     2553.439      5468.509     2161.138    5493.695 
  166.000     2605.353      5461.453     2200.645    5487.365 
  164.000     2659.081      5454.197     2241.403    5480.867 
  162.000     2714.711      5446.733     2283.468    5474.194 
  160.000     2772.339      5439.052     2326.899    5467.339 
  158.000     2832.063      5431.145     2371.759    5460.296 
  156.000     2893.991      5423.001     2418.115    5453.055 
  154.000     2958.236      5414.611     2466.036    5445.610 
  152.000     3024.919      5405.963     2515.598    5437.951 
  150.000     3094.169      5397.045     2566.879    5430.070 
  148.000     3166.124      5387.845     2619.964    5421.957 
  146.000     3240.930      5378.350     2674.942    5413.603 
  144.000     3318.744      5368.546     2731.908    5404.995 
  142.000     3399.734      5358.417     2790.964    5396.125 
  140.000     3484.081      5347.948     2852.218    5386.979 
  138.000     3571.977      5337.122     2915.786    5377.545 
  136.000     3663.628      5325.921     2981.789    5367.810 
  134.000     3759.257      5314.326     3050.361    5357.760 
  132.000     3859.102      5302.315     3121.642    5347.379 
  130.000     3963.418      5289.868     3195.783    5336.653 
  128.000     4072.483      5276.960     3272.945    5325.563 
  126.000     4186.592      5263.566     3353.302    5314.092 
  124.000     4306.065      5249.659     3437.041    5302.222 
  122.000     4431.250      5235.211     3524.362    5289.931 
  120.000     4562.517      5220.188     3615.481    5277.198 
  118.000     4700.272      5204.559     3710.630    5264.000 
  116.000     4844.949      5188.287     3810.061    5250.312 
  114.000     4997.023      5171.331     3914.046    5236.107 
  112.000     5157.004      5153.651     4022.877    5221.358 
  110.000     5325.449      5135.200     4136.873    5206.033 
  108.000     5502.961      5115.928     4256.379    5190.100 
  106.000     5690.195      5095.780     4381.770    5173.525 
  104.000     5887.865      5074.699     4513.453    5156.269 
  102.000     6096.746      5052.620     4651.874    5138.292 
  100.000     6317.684      5029.474     4797.517    5119.551 
   98.000     6551.600      5005.182     4950.912    5099.998 
   96.000     6799.498      4979.662     5112.640    5079.584 
   94.000     7062.476      4952.822     5283.336    5058.252 
   92.000     7341.730      4924.560     5463.700    5035.944 
   90.000     7638.568      4894.764     5654.502    5012.595 
   88.000     7954.422      4863.312     5856.590    4988.136 
   86.000     8290.854      4830.067     6070.901    4962.491 
   84.000     8649.575      4794.877     6298.473    4935.578 
   82.000     9032.454      4757.574     6540.457    4907.307 
   80.000     9441.539      4717.969     6798.133    4877.580 
   78.000     9879.070      4675.852     7072.925    4846.292 
   76.000    10347.495      4630.987     7366.425    4813.325 
   74.000    10849.498      4583.109     7680.413    4778.553 
   72.000    11388.009      4531.917     8016.888    4741.836 
   70.000    11966.238      4477.071     8378.094    4703.022 
   68.000    12587.694      4418.187     8766.561    4661.942 
   66.000    13256.218      4354.824     9185.145    4618.413 
   64.000    13976.008      4286.480     9637.079    4572.233 
   62.000    14751.660      4212.578    10126.027    4523.178 
   60.000    15588.200      4132.452    10656.152    4471.006 
   58.000    16491.129      4045.337    11232.182    4415.445 
   56.000    17466.457      3950.345    11859.497    4356.201 
   54.000    18520.738      3846.445    12544.206    4292.948 
   52.000    19661.085      3732.445    13293.227    4225.329 
   50.000    20895.144      3606.964    14114.351    4152.954 
   48.000    22230.980      3468.416    15016.258    4075.396 
   46.000    23676.818      3315.003    16008.442    3992.192 
   44.000    25240.510      3144.736    17100.974    3902.843 
   42.000    26928.575      2955.523    18303.969    3806.816 
   40.000    28744.613      2745.359    19626.612    3703.548 
   38.000    30686.960      2512.721    21075.580    3592.459 
   36.000    32745.781      2257.252    22652.912    3472.963 
   34.000    34900.666      1980.783    24353.898    3344.501 
   32.000    37121.196      1688.562    26166.613    3206.570 
   30.000    39373.837      1390.140    28075.589    3058.784 
   28.000    41636.552      1099.007    30071.194    2900.948 
   26.000    43916.186       830.297    32162.181    2733.161 
   24.000    46258.471       597.144    34384.712    2555.950 
   22.000    48744.847       407.497    36803.205    2370.445 
   20.000    51482.210       262.988    39506.351    2178.581 
   19.000    52983.958       206.656    40998.816    2081.153 
   18.000    54598.331       159.909    42607.200    1983.359 
   17.000    56346.384       121.786    44351.512    1885.792 
   16.000    58253.098        91.253    46255.969    1789.156 
   15.000    60349.247        67.255    48350.802    1694.286 
   14.000    62674.142        48.763    50674.957    1602.177 
   13.000    65279.791        34.808    53280.205    1514.022 
   12.000    68237.444        24.506    56237.649    1431.278 
   11.000    71648.347        17.077    59648.446    1355.778 
   10.000    75662.292        11.855    63662.340    1289.915 
    9.800    76555.850        11.025    64555.891    1278.167 
    9.600    77484.759        10.257    65484.795    1266.964 
    9.400    78451.660         9.547    66451.691    1256.340 
    9.200    79459.475         8.893    67459.502    1246.333 
    9.000    80511.448         8.290    68511.472    1236.985 
    8.800    81611.190         7.737    69611.211    1228.339 
    8.600    82762.729         7.229    70762.747    1220.445 
    8.400    83970.573         6.764    71970.588    1213.356 
    8.200    85239.782         6.340    73239.796    1207.132 
    8.000    86576.055         5.955    74576.067    1201.839 
    7.800    87985.828         5.606    75985.839    1197.549 
    7.600    89476.397         5.293    77476.406    1194.343 
    7.400    91056.060         5.012    79056.068    1192.311 
    7.200    92734.293         4.763    80734.300    1191.555 
    7.000    94521.955         4.545    82521.962    1192.190 
    6.800    96431.548         4.357    84431.554    1194.345 
    6.600    98477.516         4.199    86477.522    1198.166 
    6.400    100676.634         4.072    88676.639    1203.820 
    6.200    103048.469         3.975    91048.474    1211.499 
    6.000    105615.962         3.911    93615.967    1221.421 
    5.800    108406.153         3.882    96406.158    1233.840 
    5.600    111451.089         3.892    99451.094    1249.048 
    5.400    114788.978         3.946    102788.983    1267.386 
    5.200    118465.661         4.053    106465.666    1289.251 
    5.000    122536.504         4.223    110536.510    1315.110 
    4.900    124740.233         4.337    112740.239    1329.705 
    4.800    127068.858         4.474    115068.864    1345.512 
    4.700    129533.197         4.636    117533.205    1362.615 
    4.600    132145.277         4.828    120145.284    1381.106 
    4.500    134918.489         5.055    122918.497    1401.084 
    4.400    137867.785         5.322    125867.794    1422.661 
    4.300    141009.895         5.637    129009.905    1445.953 
    4.200    144363.583         6.008    132363.595    1471.093 
    4.100    147949.947         6.447    135949.961    1498.222 
    4.000    151792.776         6.969    139792.793    1527.496 
    3.900    155918.960         7.590    143918.979    1559.085 
    3.800    160358.983         8.335    148359.007    1593.176 
    3.700    165147.512         9.233    153147.540    1629.970 
    3.600    170324.084        10.322    158324.119    1669.692 
    3.500    175933.946        11.653    163933.991    1712.581 
    3.400    182029.052        13.294    170029.111    1758.903 
    3.300    188669.273        15.335    176669.352    1808.943 
    3.200    195923.856        17.900    183923.963    1863.013 
    3.100    203873.208        21.156    191873.358    1921.446 
    3.000    212611.067        25.338    200611.282    1984.603 
    2.900    222247.159        30.776    210247.475    2052.868 
    2.800    232910.446        37.939    220910.927    2126.645 
    2.700    244753.087        47.505    232753.840    2206.359 
    2.600    257955.183        60.463    245956.403    2292.449 
    2.500    272730.294        78.280    260732.338    2385.357 
    2.400    289331.340       103.147    277334.890    2485.520 
    2.300    308055.544       138.369    296061.931    2593.354 
    2.200    329244.618       188.950    317256.528    2709.231 
    2.100    353270.309       262.430    341293.279    2833.460 
    2.000    380481.414       369.945    368527.058    2966.250 
    1.900    411060.691       527.147    399153.360    3107.677 
    1.800    444705.337       753.760    432894.793    3257.646 
    1.700    480081.349      1069.094    468462.458    3415.843 
    1.600    514340.433      1480.711    503071.463    3581.698 
    1.500    543646.637      1970.423    532941.120    3754.344 
    1.400    565258.404      2494.040    555332.217    3932.589 
