# TF 0 bar using wide line treatment and CHH viscosity
# vacuum frequency  32700.00 Hz  
#  density      2.659 g/cc  
#  diameter    101.0 microns  

# Temperature(mK)  Width    Frequency  approx width  approx freq
   30.000      229.059     32097.288      220.843   32098.261 
   29.000      237.377     32093.808      228.815   32094.820 
   28.000      246.319     32090.084      237.381   32091.139 
   27.000      255.957     32086.092      246.611   32087.193 
   26.000      266.377     32081.801      256.584   32082.953 
   25.000      277.676     32077.176      267.393   32078.383 
   24.000      289.970     32072.177      279.148   32073.444 
   23.000      303.395     32066.757      291.977   32068.090 
   22.000      318.115     32060.860      306.035   32062.267 
   21.000      334.324     32054.421      321.505   32055.910 
   20.000      352.260     32047.363      338.609   32048.943 
   19.000      372.211     32039.591      357.620   32041.275 
   18.800      376.473     32037.942      361.679   32039.647 
   18.600      380.832     32036.258      365.831   32037.987 
   18.400      385.293     32034.540      370.078   32036.291 
   18.200      389.859     32032.785      374.424   32034.561 
   18.000      394.533     32030.993      378.872   32032.793 
   17.800      399.319     32029.163      383.426   32030.988 
   17.600      404.222     32027.293      388.090   32029.144 
   17.400      409.245     32025.382      392.868   32027.260 
   17.200      414.393     32023.429      397.764   32025.334 
   17.000      419.671     32021.432      402.782   32023.365 
   16.800      425.084     32019.390      407.927   32021.352 
   16.600      430.636     32017.301      413.203   32019.292 
   16.400      436.334     32015.163      418.617   32017.185 
   16.200      442.183     32012.976      424.173   32015.030 
   16.000      448.189     32010.737      429.876   32012.823 
   15.800      454.358     32008.444      435.733   32010.563 
   15.600      460.697     32006.095      441.750   32008.249 
   15.400      467.213     32003.689      447.934   32005.879 
   15.200      473.914     32001.224      454.291   32003.450 
   15.000      480.807     31998.696      460.829   32000.960 
   14.800      487.900     31996.104      467.555   31998.407 
   14.600      495.203     31993.446      474.478   31995.789 
   14.400      502.725     31990.718      481.607   31993.103 
   14.200      510.475     31987.919      488.949   31990.347 
   14.000      518.465     31985.044      496.516   31987.517 
   13.800      526.704     31982.092      504.318   31984.611 
   13.600      535.205     31979.059      512.364   31981.626 
   13.400      543.980     31975.942      520.668   31978.558 
   13.200      553.043     31972.737      529.241   31975.404 
   13.000      562.408     31969.440      538.097   31972.161 
   12.800      572.089     31966.049      547.249   31968.825 
   12.600      582.104     31962.558      556.712   31965.391 
   12.400      592.468     31958.964      566.503   31961.857 
   12.200      603.201     31955.261      576.637   31958.216 
   12.000      614.322     31951.445      587.135   31954.465 
   11.800      625.852     31947.511      598.014   31950.598 
   11.600      637.814     31943.454      609.296   31946.610 
   11.400      650.231     31939.267      621.003   31942.497 
   11.200      663.131     31934.945      633.159   31938.251 
   11.000      676.540     31930.481      645.790   31933.866 
   10.800      690.489     31925.869      658.923   31929.337 
   10.600      705.011     31921.100      672.590   31924.655 
   10.400      720.141     31916.168      686.822   31919.814 
   10.200      735.917     31911.064      701.654   31914.805 
   10.000      752.379     31905.779      717.124   31909.620 
    9.800      769.574     31900.305      733.272   31904.250 
    9.600      787.548     31894.630      750.145   31898.685 
    9.400      806.355     31888.745      767.789   31892.916 
    9.200      826.053     31882.638      786.259   31886.931 
    9.000      846.704     31876.298      805.610   31880.719 
    8.800      868.376     31869.710      825.906   31874.268 
    8.600      891.146     31862.863      847.216   31867.563 
    8.400      915.094     31855.741      869.615   31860.592 
    8.200      940.311     31848.328      893.184   31853.340 
    8.000      966.897     31840.608      918.015   31845.790 
    7.800      994.960     31832.563      944.207   31837.925 
    7.600     1024.621     31824.174      971.870   31829.728 
    7.400     1056.014     31815.422     1001.125   31821.179 
    7.200     1089.284     31806.284     1032.104   31812.257 
    7.000     1124.594     31796.737     1064.956   31802.943 
    6.800     1162.124     31786.759     1099.843   31793.211 
    6.600     1203.803     31776.128     1138.569   31782.781 
    6.400     1246.323     31765.308     1178.027   31772.272 
    6.200     1291.921     31753.933     1220.303   31761.219 
    6.000     1340.872     31741.989     1265.642   31749.612 
    5.800     1393.498     31729.456     1314.338   31737.438 
    5.600     1450.173     31716.306     1366.727   31724.673 
    5.400     1511.334     31702.513     1423.205   31711.294 
    5.200     1577.484     31688.045     1484.225   31697.274 
    5.000     1649.205     31672.873     1550.314   31682.587 
    4.900     1687.363     31665.013     1585.445   31674.985 
    4.800     1727.174     31656.967     1622.079   31667.208 
    4.700     1768.740     31648.731     1660.308   31659.252 
    4.600     1812.171     31640.303     1700.230   31651.116 
    4.500     1857.586     31631.679     1741.951   31642.798 
    4.400     1905.111     31622.859     1785.587   31634.297 
    4.300     1954.885     31613.841     1831.263   31625.612 
    4.200     2007.057     31604.626     1879.114   31616.743 
    4.100     2061.791     31595.213     1929.287   31607.694 
    4.000     2119.261     31585.605     1981.941   31598.465 
    3.900     2179.659     31575.804     2037.249   31589.061 
    3.800     2243.194     31565.817     2095.400   31579.487 
    3.700     2310.091     31555.650     2156.598   31569.753 
    3.600     2380.597     31545.312     2221.069   31559.866 
    3.500     2454.983     31534.817     2289.057   31549.842 
    3.400     2533.541     31524.178     2360.831   31539.695 
    3.300     2616.595     31513.417     2436.683   31529.446 
    3.200     2704.495     31502.558     2516.936   31519.120 
    3.100     2797.629     31491.630     2601.944   31508.747 
    3.000     2896.418     31480.671     2692.096   31498.364 
    2.900     3001.327     31469.726     2787.820   31488.016 
    2.800     3112.866     31458.849     2889.589   31477.755 
    2.700     3231.595     31448.106     2997.923   31467.647 
    2.600     3358.128     31437.576     3113.397   31457.769 
    2.500     3493.142     31427.354     3236.649   31448.212 
    2.400     3637.376     31417.554     3368.379   31439.087 
    2.300     3791.646     31408.314     3509.366   31430.525 
    2.200     3956.841     31399.796     3660.468   31422.683 
    2.100     4133.934     31392.196     3822.634   31415.747 
    2.000     4323.981     31385.748     3996.909   31409.938 
    1.900     4528.126     31380.729     4184.442   31405.519 
    1.800     4747.600     31377.469     4386.491   31402.801 
    1.700     4983.708     31376.358     4604.427   31402.151 
    1.600     5237.818     31377.856     4839.726   31404.002 
    1.500     5511.334     31382.500     5093.962   31408.857 
    1.400     5805.649     31390.915     5368.782   31417.301 
    1.300     6122.081     31403.811     5665.857   31430.000 
    1.200     6461.770     31421.987     5986.812   31447.703 
    1.100     6825.531     31446.310     6333.101   31471.229 
    1.000     7213.646     31477.678     6705.821   31501.427 
    0.975     7314.439     31486.723     6803.204   31510.118 
    0.950     7416.707     31496.275     6902.269   31519.289 
    0.930     7499.567     31504.289     6982.730   31526.980 


# 7th order polynomial to give 1/T(mK) as powers of width
  4.238790e-01 
  1.505377e-01 
 -3.174037e-05 
  1.190309e-08 
 -2.715610e-12 
  4.066535e-16 
 -3.379753e-20 
  1.249025e-24 
