# cylinder programme using wide line treatment, CHH and no slip fudge
# vacuum frequency    813.00 Hz  
#  density     16.700 g/cc  
#  diameter    124.0 microns  

#Temperature(mK)  Width    Frequency  approx width  approx freq
   50.000        3.042       809.572        3.016     809.575 
   48.000        3.191       809.508        3.164     809.512 
   46.000        3.355       809.441        3.326     809.444 
   44.000        3.535       809.369        3.503     809.373 
   42.000        3.733       809.292        3.700     809.296 
   40.000        3.954       809.210        3.917     809.214 
   38.000        4.199       809.122        4.160     809.126 
   36.000        4.475       809.027        4.431     809.031 
   34.000        4.786       808.924        4.738     808.928 
   32.000        5.139       808.811        5.087     808.816 
   30.000        5.544       808.688        5.486     808.693 
   28.000        6.013       808.552        5.948     808.558 
   26.000        6.560       808.402        6.487     808.408 
   24.000        7.208       808.234        7.124     808.240 
   22.000        8.031       807.981        7.932     807.992 
   20.000        9.081       807.635        8.963     807.647 
   19.000        9.703       807.439        9.571     807.452 
   18.000       10.404       807.225       10.258     807.239 
   17.000       11.200       806.989       11.037     807.005 
   16.000       12.112       806.729       11.928     806.746 
   15.000       13.165       806.439       12.955     806.458 
   14.000       14.392       806.115       14.152     806.136 
   13.000       15.839       805.749       15.560     805.772 
   12.000       17.565       805.332       17.239     805.357 
   11.000       19.784       804.769       19.389     804.806 
   10.000       22.643       804.041       22.152     804.084 
    9.800       23.300       803.878       22.786     803.923 
    9.600       23.991       803.709       23.452     803.756 
    9.400       24.718       803.533       24.152     803.582 
    9.200       25.483       803.350       24.889     803.401 
    9.000       26.290       803.160       25.665     803.213 
    8.800       27.141       802.961       26.483     803.016 
    8.600       28.041       802.754       27.347     802.811 
    8.400       28.993       802.537       28.261     802.597 
    8.200       30.002       802.310       29.228     802.373 
    8.000       31.072       802.073       30.253     802.138 
    7.800       32.209       801.824       31.342     801.892 
    7.600       33.420       801.563       32.499     801.634 
    7.400       34.710       801.288       33.731     801.363 
    7.200       36.088       801.000       35.046     801.078 
    7.000       37.562       800.695       36.451     800.778 
    6.800       39.143       800.374       37.955     800.461 
    6.600       40.841       800.034       39.569     800.126 
    6.400       42.668       799.675       41.304     799.772 
    6.200       44.640       799.294       43.173     799.396 
    6.000       46.774       798.889       45.192     798.997 
    5.800       49.103       798.450       47.393     798.573 
    5.600       51.852       797.891       49.978     798.041 
    5.400       54.866       797.288       52.806     797.451 
    5.200       58.180       796.637       55.909     796.814 
    5.000       61.840       795.933       59.325     796.125 
    4.900       63.815       795.558       61.165     795.759 
    4.800       65.897       795.167       63.101     795.377 
    4.700       68.094       794.760       65.141     794.979 
    4.600       70.414       794.333       67.292     794.563 
    4.500       72.869       793.887       69.563     794.128 
    4.400       75.468       793.420       71.964     793.673 
    4.300       78.224       792.931       74.505     793.196 
    4.200       81.151       792.418       77.198     792.696 
    4.100       84.264       791.878       80.055     792.172 
    4.000       87.579       791.311       83.092     791.621 
    3.900       91.115       790.714       86.325     791.041 
    3.800       94.894       790.084       89.770     790.430 
    3.700       98.939       789.419       93.449     789.785 
    3.600      103.277       788.717       97.384     789.104 
    3.500      107.939       787.972      101.600     788.384 
    3.400      112.958       787.183      106.127     787.621 
    3.300      118.376       786.344      110.997     786.811 
    3.200      124.236       785.452      116.247     785.950 
    3.100      130.591       784.500      121.920     785.033 
    3.000      137.501       783.483      128.065     784.055 
    2.900      145.036       782.394      134.738     783.008 
    2.800      153.276       781.225      142.005     781.887 
    2.700      162.317       779.968      149.943     780.683 
    2.600      172.272       778.611      158.639     779.386 
    2.500      183.274       777.144      168.198     777.985 
    2.400      195.481       775.551      178.746     776.469 
    2.300      209.573       773.684      190.814     774.822 
    2.200      226.009       771.472      204.744     772.770 
    2.100      244.618       769.027      220.381     770.481 
    2.000      265.814       766.312      238.023     767.949 
    1.900      290.114       763.281      258.042     765.135 
    1.800      318.173       759.881      280.896     761.994 
    1.700      350.827       756.042      307.166     758.467 
    1.600      389.158       751.678      337.587     754.485 
    1.500      434.584       746.683      373.105     749.958 
    1.400      488.988       740.917      414.958     744.777 
    1.300      554.900       734.199      464.779     738.798 
    1.200      635.774       726.291      524.766     731.840 
    1.100      741.831       716.872      602.478     723.664 
    1.000      877.578       705.506      700.232     713.955 
    0.975      917.207       702.294      728.476     711.242 
    0.950      959.492       698.912      758.495     708.400 
    0.930      995.379       696.074      783.888     706.027 


# 7th order polynomial to give 1/T(mK) as powers of width
#  1.351957e+01 
#  4.097231e+00 
# -2.207567e-02 
#  9.289845e-05 
# -2.245089e-07 
#  3.001327e-10 
# -2.062227e-13 
#  5.674882e-17 
