# triplemicro
#  frequency    260.00 Hz  
#  density      6.050 g/cc  
#  diameter      4.5 microns  

# Temperature(mK)  Width        Shift
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9294     75587.2677      478.6367 
   0.9280     73573.8713      558.5078 
   0.9260     71943.5198      600.6383 
   0.9240     70565.0416      629.2607 
   0.9220     69315.4442      651.4619 
   0.9200     68152.4564      669.6441 
   0.9180     67054.9978      684.9833 
   0.9160     66010.5199      698.1645 
   0.9140     65010.7124      709.6307 
   0.9120     64049.6635      719.6895 
   0.9100     63122.9463      728.5656 
   0.9080     62227.1156      736.4297 
   0.9060     61366.6037      743.0440 
   0.9040     60634.7509      743.6082 
   0.9020     59922.9327      743.7419 
   0.9000     59229.7913      743.5003 
   0.8980     58554.1589      742.9292 
   0.8960     57895.0210      742.0677 
   0.8940     57251.4873      740.9495 
   0.8920     56622.7704      739.6037 
   0.8900     56008.1690      738.0556 
   0.8880     55407.0547      736.3278 
   0.8860     54818.8612      734.4403 
   0.8840     54243.0756      732.4107 
   0.8820     53673.9809      730.5182 
   0.8800     53109.6679      728.8494 
   0.8780     52556.8189      727.0629 
   0.8760     52015.0615      725.1714 
   0.8740     51484.0515      723.1870 
   0.8720     50964.8321      721.1610 
   0.8700     50454.4814      719.0254 
   0.8680     49953.9928      716.8271 
   0.8660     49463.1098      714.5750 
   0.8640     48981.5930      712.2769 
   0.8620     48509.2178      709.9407 
   0.8600     48045.7737      707.5732 
   0.8580     47591.0631      705.1813 
   0.8560     47144.8994      702.7713 
   0.8540     46707.1071      700.3490 
   0.8520     46277.5203      697.9201 
   0.8500     45855.9818      695.4900 
   0.8480     45442.3431      693.0637 
   0.8460     45036.4629      690.6460 
   0.8440     44638.2071      688.2416 
   0.8420     44247.4482      685.8547 
   0.8400     43864.0645      683.4896 
   0.8380     43487.9400      681.1503 
   0.8360     42803.6755      668.5409 
   0.8340     42409.6480      663.5685 
   0.8320     42019.7818      658.5742 
   0.8300     41633.9982      653.5603 
   0.8280     41252.2210      648.5292 
   0.8260     40874.3766      643.4830 
   0.8240     40500.3940      638.4237 
   0.8220     40130.2044      633.3532 
   0.8200     39763.7410      628.2734 
   0.8180     39400.9395      623.1861 
   0.8160     39041.7371      618.0928 
   0.8140     38686.0732      612.9953 
   0.8120     38333.8889      607.8949 
   0.8100     37985.1269      602.7930 
   0.8080     37639.7316      597.6912 
   0.8060     37297.6490      592.5906 
   0.8040     36958.8265      587.4925 
   0.8020     36623.2128      582.3980 
   0.8000     36290.7582      577.3083 
   0.7980     35961.4141      572.2245 
   0.7960     35635.1332      567.1475 
   0.7940     35311.8694      562.0784 
   0.7920     34991.5779      557.0180 
   0.7900     34674.2146      551.9673 
   0.7880     34359.7369      546.9271 
   0.7860     34048.1028      541.8981 
   0.7840     33739.2718      536.8813 
   0.7820     33433.2037      531.8772 
   0.7800     33129.8598      526.8867 
   0.7780     32829.2020      521.9103 
   0.7760     32531.1930      516.9487 
   0.7740     32235.7964      512.0026 
   0.7720     31942.9766      507.0724 
   0.7700     31652.6987      502.1589 
   0.7680     31364.9287      497.2624 
   0.7660     31079.6332      492.3835 
   0.7640     30796.7794      487.5227 
   0.7620     30516.3353      482.6805 
   0.7600     30238.2697      477.8573 
   0.7580     29962.5516      473.0534 
   0.7560     29689.1510      468.2694 
   0.7540     29418.0384      463.5056 
   0.7520     29149.1847      458.7623 
   0.7500     28882.5617      454.0400 
   0.7480     28618.1415      449.3389 
   0.7460     28355.8967      444.6594 
   0.7440     28095.8005      440.0017 
   0.7420     27862.4010      434.7419 
   0.7400     27629.6830      428.9756 
   0.7380     27398.3497      423.2612 
   0.7360     27168.3895      417.5983 
   0.7340     26939.7906      411.9869 
   0.7320     26712.5418      406.4266 
   0.7300     26486.6318      400.9173 
   0.7280     26262.0497      395.4587 
   0.7260     26038.7847      390.0507 
   0.7240     25816.8262      384.6930 
   0.7220     25596.1638      379.3854 
   0.7200     25376.7873      374.1276 
   0.7180     25158.6868      368.9195 
   0.7160     24941.8522      363.7608 
   0.7140     24726.2739      358.6513 
   0.7120     24511.9425      353.5907 
   0.7100     24298.8484      348.5788 
   0.7080     24086.9826      343.6154 
   0.7060     23876.3359      338.7002 
   0.7040     23666.8995      333.8330 
   0.7020     23458.6646      329.0136 
   0.7000     23251.6226      324.2417 
   0.6980     23045.7651      319.5170 
   0.6960     22841.0837      314.8394 
   0.6940     22637.5702      310.2086 
   0.6920     22435.2167      305.6243 
   0.6900     22234.0151      301.0863 
   0.6880     22033.9577      296.5944 
   0.6860     21835.0370      292.1483 
   0.6840     21637.2452      287.7477 
   0.6820     21440.5751      283.3925 
   0.6800     21245.0194      279.0823 
   0.6780     21050.5708      274.8170 
   0.6760     20857.2225      270.5962 
   0.6740     20664.9674      266.4197 
   0.6720     20473.7988      262.2874 
   0.6700     20283.7099      258.1988 
   0.6680     20094.6943      254.1539 
   0.6660     19906.7454      250.1522 
   0.6640     19719.8569      246.1937 
   0.6620     19534.0226      242.2780 
   0.6600     19349.2363      238.4049 
   0.6580     19165.4920      234.5742 
   0.6560     18982.7839      230.7855 
   0.6540     18801.1060      227.0387 
   0.6520     18620.4526      223.3335 
   0.6500     18440.2920      219.6998 
   0.6480     18258.8211      216.2402 
   0.6460     18078.4599      212.8165 
   0.6440     17899.2012      209.4285 
   0.6420     17721.0375      206.0759 
   0.6400     17543.9618      202.7586 
   0.6380     17367.9671      199.4764 
   0.6360     17193.0463      196.2293 
   0.6340     17019.1928      193.0169 
   0.6320     16846.3999      189.8391 
   0.6300     16674.6611      186.6958 
   0.6280     16503.9701      183.5868 
   0.6260     16334.3204      180.5119 
   0.6240     16165.7060      177.4709 
   0.6220     15998.1208      174.4637 
   0.6200     15831.5588      171.4901 
   0.6180     15666.0144      168.5500 
   0.6160     15501.4818      165.6431 
   0.6140     15337.9553      162.7693 
   0.6120     15175.4297      159.9284 
   0.6100     15013.8994      157.1203 
   0.6080     14853.3593      154.3447 
   0.6060     14693.8043      151.6016 
   0.6040     14535.2293      148.8907 
   0.6020     14377.6294      146.2119 
   0.6000     14220.9998      143.5649 
   0.5980     14065.3359      140.9497 
   0.5960     13910.6331      138.3661 
   0.5940     13756.8868      135.8138 
   0.5920     13604.0927      133.2928 
   0.5900     13452.2465      130.8028 
   0.5880     13301.3441      128.3437 
   0.5860     13151.3815      125.9153 
   0.5840     13002.3546      123.5174 
   0.5820     12854.2596      121.1499 
   0.5800     12707.0928      118.8126 
   0.5780     12560.8504      116.5052 
   0.5760     12415.5291      114.2278 
   0.5740     12271.1252      111.9800 
   0.5720     12127.6354      109.7617 
   0.5700     11985.0565      107.5727 
   0.5680     11843.3853      105.4130 
   0.5660     11702.6188      103.2821 
   0.5640     11562.7539      101.1801 
   0.5620     11423.7878       99.1068 
   0.5600     11285.7177       97.0619 
   0.5580     11148.5409       95.0453 
   0.5560     11015.3981       92.8592 
   0.5540     10883.7178       90.6641 
   0.5520     10752.7481       88.5070 
   0.5500     10622.4913       86.3874 
   0.5480     10492.9496       84.3049 
   0.5460     10364.1253       82.2592 
   0.5440     10236.0208       80.2499 
   0.5420     10108.6383       78.2766 
   0.5400     9981.9803       76.3389 
   0.5380     9856.0490       74.4365 
   0.5360     9730.8468       72.5689 
   0.5340     9606.3761       70.7357 
   0.5320     9482.6394       68.9367 
   0.5300     9359.6390       67.1713 
   0.5280     9237.3774       65.4393 
   0.5260     9115.8571       63.7402 
   0.5240     8995.0804       62.0737 
   0.5220     8875.0499       60.4394 
   0.5200     8755.7681       58.8370 
   0.5180     8637.2375       57.2659 
   0.5160     8519.4606       55.7260 
   0.5140     8402.4399       54.2167 
   0.5120     8286.1781       52.7378 
   0.5100     8170.6776       51.2889 
   0.5080     8055.9410       49.8695 
   0.5060     7941.9709       48.4794 
   0.5040     7828.7699       47.1181 
   0.5020     7716.3405       45.7853 
   0.5000     7604.6854       44.4807 
   0.4980     7493.8073       43.2038 
   0.4960     7383.7086       41.9543 
   0.4940     7274.3920       40.7319 
   0.4920     7165.8602       39.5361 
   0.4900     7058.1157       38.3667 
   0.4880     6951.1612       37.2232 
   0.4860     6844.9994       36.1053 
   0.4840     6739.6327       35.0127 
   0.4820     6635.0639       33.9449 
   0.4800     6531.2956       32.9017 
   0.4780     6428.3304       31.8827 
   0.4760     6326.1709       30.8875 
   0.4740     6224.8196       29.9159 
   0.4720     6124.2792       28.9673 
   0.4700     6024.5523       28.0415 
   0.4680     5925.6414       27.1382 
   0.4660     5827.5491       26.2570 
   0.4640     5730.2778       25.3975 
   0.4620     5633.8302       24.5595 
   0.4600     5538.2087       23.7425 
   0.4580     5443.4158       22.9463 
   0.4560     5349.4539       22.1705 
   0.4540     5256.3255       21.4147 
   0.4520     5164.0329       20.6787 
   0.4500     5072.5786       19.9620 
   0.4480     4981.9649       19.2645 
   0.4460     4892.1940       18.5857 
   0.4440     4803.2683       17.9252 
   0.4420     4715.1900       17.2829 
   0.4400     4627.9613       16.6583 
   0.4380     4541.5843       16.0512 
   0.4360     4456.0612       15.4612 
   0.4340     4371.3939       14.8880 
   0.4320     4287.5846       14.3313 
   0.4300     4204.6351       13.7907 
   0.4280     4122.5474       13.2660 
   0.4260     4041.3233       12.7569 
   0.4240     3960.9647       12.2630 
   0.4220     3881.4731       11.7840 
   0.4200     3802.8504       11.3197 
   0.4180     3725.0980       10.8697 
   0.4160     3648.2175       10.4337 
   0.4140     3572.2104       10.0115 
   0.4120     3497.0780        9.6027 
   0.4100     3422.8216        9.2071 
   0.4080     3349.4425        8.8243 
   0.4060     3276.9418        8.4541 
   0.4040     3205.3204        8.0962 
   0.4020     3134.5794        7.7503 
   0.4000     3064.7196        7.4161 
   0.3980     2995.7418        7.0934 
   0.3960     2927.6466        6.7819 
   0.3940     2860.4346        6.4813 
   0.3920     2794.1063        6.1913 
   0.3900     2728.6619        5.9117 
   0.3880     2664.1018        5.6422 
   0.3860     2600.4260        5.3826 
   0.3840     2537.6346        5.1326 
   0.3820     2475.7273        4.8919 
